book_id,book_genre,clean_genre_list
44595007,"['Nonfiction', 'Self Help', 'Psychology', 'Productivity', 'Self Help', 'Business', 'Audiobook', 'Leadership', 'Science', 'Science']","['Nonfiction', 'Self Help', 'Psychology', 'Productivity', 'Business', 'Audiobook', 'Leadership', 'Science']"
55059013,[],[]
7015403,"['Nonfiction', 'Self Help', 'Psychology', 'Self Help', 'Audiobook', 'Health', 'Spirituality', 'Inspirational', 'Health', 'Philosophy']","['Nonfiction', 'Self Help', 'Psychology', 'Audiobook', 'Health', 'Spirituality', 'Inspirational', 'Philosophy']"
43875794,"['Mystery', 'Thriller', 'Fiction', 'Mystery', 'Thriller', 'Audiobook', 'Suspense', 'Mystery', 'Business', 'Mystery']","['Mystery', 'Thriller', 'Fiction', 'Audiobook', 'Suspense', 'Business']"
38314066,"['Mystery', 'Thriller', 'Fiction', 'Mystery', 'Thriller', 'Suspense', 'Audiobook', 'Mystery', 'Mystery', 'Thriller']","['Mystery', 'Thriller', 'Fiction', 'Suspense', 'Audiobook']"
6779,"['Science', 'Science', 'Nonfiction', 'Science', 'Science', 'Writing', 'Literature', 'Textbooks', 'Philosophy', 'Education']","['Science', 'Nonfiction', 'Writing', 'Literature', 'Textbooks', 'Philosophy', 'Education']"
35167685,"['Science', 'Nonfiction', 'Biography', 'Science', 'Autobiography', 'Biography', 'Humor', 'History', 'Biography Memoir', 'Audiobook']","['Science', 'Nonfiction', 'Biography', 'Autobiography', 'Humor', 'History', 'Biography Memoir', 'Audiobook']"
5553,"['Science', 'Science', 'Nonfiction', 'Science', 'Writing', 'Science', 'Education', 'Reference', 'Classics', 'Science Nature']","['Science', 'Nonfiction', 'Writing', 'Education', 'Reference', 'Classics', 'Science Nature']"
89731,"['Young Adult', 'Historical', 'Fiction', 'Childrens', 'Realistic Fiction', 'Childrens', 'Historical', 'Family', 'Death', 'Young Adult']","['Young Adult', 'Historical', 'Fiction', 'Childrens', 'Realistic Fiction', 'Family', 'Death']"
35157278,"['Mystery', 'Thriller', 'Fiction', 'Mystery', 'Thriller', 'Audiobook', 'Suspense', 'Mystery', 'Mystery', 'Adult']","['Mystery', 'Thriller', 'Fiction', 'Audiobook', 'Suspense', 'Adult']"
530415,"['Science', 'Nonfiction', 'Science', 'Education', 'Philosophy', 'Science', 'Science', 'Self Help', 'Computer Science', 'Science']","['Science', 'Nonfiction', 'Education', 'Philosophy', 'Self Help', 'Computer Science']"
925232,"['Education', 'Nonfiction', 'Self Help', 'Productivity', 'Reference', 'Academic', 'Science', 'Academic', 'Parenting', 'Unfinished']","['Education', 'Nonfiction', 'Self Help', 'Productivity', 'Reference', 'Academic', 'Science', 'Parenting', 'Unfinished']"
6017518,"['', 'Science', 'Nonfiction', 'Science', 'Education', 'Biography', 'Autobiography', 'Teaching', 'Biography Memoir', 'Literature', 'Relationships']","['Science', 'Nonfiction', 'Education', 'Biography', 'Autobiography', 'Teaching', 'Biography Memoir', 'Literature', 'Relationships']"
184327,"['Science', 'Nonfiction', 'History', 'Health', 'Medical', 'Audiobook', 'Science', 'Health', 'Biography', 'Historical']","['Science', 'Nonfiction', 'History', 'Health', 'Medical', 'Audiobook', 'Biography', 'Historical']"
30091655,"['Nonfiction', 'History', 'Science', 'Audiobook', 'Cultural', 'Historical', 'Biography', 'Science', 'Cultural', 'History']","['Nonfiction', 'History', 'Science', 'Audiobook', 'Cultural', 'Historical', 'Biography']"
13237706,"['Science', 'Nonfiction', 'Environment', 'Animals', 'Science', 'Psychology', 'Self Help', 'Environment']","['Science', 'Nonfiction', 'Environment', 'Animals', 'Psychology', 'Self Help']"
44770129,"['Nonfiction', 'Self Help', 'Productivity', 'Self Help', 'Psychology', 'Education', 'Business', 'Audiobook', 'Science', 'Leadership']","['Nonfiction', 'Self Help', 'Productivity', 'Psychology', 'Education', 'Business', 'Audiobook', 'Science', 'Leadership']"
23719305,"['Psychology', 'Science', 'Nonfiction', 'Biology', 'Self Help', 'Science', 'Neuroscience', 'Health', 'Health', 'Philosophy']","['Psychology', 'Science', 'Nonfiction', 'Biology', 'Self Help', 'Neuroscience', 'Health', 'Philosophy']"
34330645,"['Mystery', 'Thriller', 'Fiction', 'Mystery', 'Thriller', 'Audiobook', 'Suspense', 'Adult', 'Contemporary', 'Mystery']","['Mystery', 'Thriller', 'Fiction', 'Audiobook', 'Suspense', 'Adult', 'Contemporary']"
1713426,"['', 'Economics', 'Nonfiction', 'Business', 'Science', 'Sociology', 'Self Help', 'Audiobook', 'Social Science', 'Philosophy', 'Economics']","['Economics', 'Nonfiction', 'Business', 'Science', 'Sociology', 'Self Help', 'Audiobook', 'Social Science', 'Philosophy']"
46127920,"['Mystery', 'Thriller', 'Fiction', 'Thriller', 'Suspense', 'Mystery', 'Audiobook', 'Contemporary', 'Mystery', 'Adult']","['Mystery', 'Thriller', 'Fiction', 'Suspense', 'Audiobook', 'Contemporary', 'Adult']"
9827912,"['Nonfiction', 'Psychology', 'Science', 'Biology', 'Neuroscience', 'Philosophy', 'Science', 'Audiobook', 'Self Help', 'Science']","['Nonfiction', 'Psychology', 'Science', 'Biology', 'Neuroscience', 'Philosophy', 'Audiobook', 'Self Help']"
34466963,"['Nonfiction', 'Science', 'Health', 'Psychology', 'Self Help', 'Audiobook', 'Biology', 'Self Help', 'Science', 'Health']","['Nonfiction', 'Science', 'Health', 'Psychology', 'Self Help', 'Audiobook', 'Biology']"
5470,"['', 'Classics', 'Fiction', 'Science Fiction', 'Science Fiction', 'Literature', 'Novels', 'Politics', 'Academic', 'Fantasy', 'Adult']","['Classics', 'Fiction', 'Science Fiction', 'Literature', 'Novels', 'Politics', 'Academic', 'Fantasy', 'Adult']"
40109367,"['Nonfiction', 'Leadership', 'Business', 'Self Help', 'Audiobook', 'Self Help', 'Psychology', 'Business', 'Education', 'Adult']","['Nonfiction', 'Leadership', 'Business', 'Self Help', 'Audiobook', 'Psychology', 'Education', 'Adult']"
20980987,"['Nonfiction', 'Autobiography', 'Biography', 'Audiobook', 'Self Help', 'Music', 'Art', 'Biography', 'Biography Memoir', 'Feminism']","['Nonfiction', 'Autobiography', 'Biography', 'Audiobook', 'Self Help', 'Music', 'Art', 'Biography Memoir', 'Feminism']"
41150498,"['Fiction', 'Audiobook', 'Contemporary', 'Magical Realism', 'Fantasy', 'Adult Fiction', 'Young Adult', 'Adult', 'Book Club', 'Historical']","['Fiction', 'Audiobook', 'Contemporary', 'Magical Realism', 'Fantasy', 'Adult Fiction', 'Young Adult', 'Adult', 'Book Club', 'Historical']"
39072210,"['Fiction', 'Contemporary', 'Audiobook', 'Adult', 'Adult Fiction', 'Realistic Fiction', 'Womens Fiction', 'Drama', 'Book Club', 'Mystery']","['Fiction', 'Contemporary', 'Audiobook', 'Adult', 'Adult Fiction', 'Realistic Fiction', 'Womens Fiction', 'Drama', 'Book Club', 'Mystery']"
50265329,"['Fiction', 'Romance', 'Contemporary', 'Audiobook', 'Adult', 'Historical', 'Adult Fiction', 'Northern Africa', 'Book Club', 'Family']","['Fiction', 'Romance', 'Contemporary', 'Audiobook', 'Adult', 'Historical', 'Adult Fiction', 'Northern Africa', 'Book Club', 'Family']"
16130537,"['Science Fiction', 'Fiction', 'Fantasy', 'Humor', 'Contemporary', 'Audiobook', 'Adult', 'Science Fiction', 'Novels', 'Science Fiction Fantasy']","['Science Fiction', 'Fiction', 'Fantasy', 'Humor', 'Contemporary', 'Audiobook', 'Adult', 'Novels', 'Science Fiction Fantasy']"
6419887,"['', '', 'Nonfiction', 'Cultural', 'Autobiography', 'Biography', 'Science', 'Biography Memoir', 'Eastern Africa', 'Biography', 'Inspirational', 'Academic']","['Nonfiction', 'Cultural', 'Autobiography', 'Biography', 'Science', 'Biography Memoir', 'Eastern Africa', 'Inspirational', 'Academic']"
52454426,"['Horror', 'Fiction', 'Science Fiction', 'Thriller', 'Fantasy', 'Audiobook', 'Adult', 'Fantasy', 'Mystery', 'Adult Fiction']","['Horror', 'Fiction', 'Science Fiction', 'Thriller', 'Fantasy', 'Audiobook', 'Adult', 'Mystery', 'Adult Fiction']"
6240926,"['History', 'Nonfiction', 'Religion', 'Religion', 'Politics', 'History', 'Historical', 'Audiobook', 'Cultural', 'Philosophy']","['History', 'Nonfiction', 'Religion', 'Politics', 'Historical', 'Audiobook', 'Cultural', 'Philosophy']"
35297176,"['Poetry', 'Nonfiction', 'Self Help', 'Self Help', 'Feminism', 'Audiobook', 'Inspirational', 'Health', 'Philosophy', 'Spirituality']","['Poetry', 'Nonfiction', 'Self Help', 'Feminism', 'Audiobook', 'Inspirational', 'Health', 'Philosophy', 'Spirituality']"
38532183,"['Nonfiction', 'Autobiography', 'Writing', 'Self Help', 'Audiobook', 'Biography', 'Health', 'Humor', 'Psychology', 'Self Help']","['Nonfiction', 'Autobiography', 'Writing', 'Self Help', 'Audiobook', 'Biography', 'Health', 'Humor', 'Psychology']"
22580996,"['Nonfiction', 'Environment', 'Science', 'Travel', 'Nature', 'Reference', 'Environment', 'Science', 'Travel', 'Science Nature']","['Nonfiction', 'Environment', 'Science', 'Travel', 'Nature', 'Reference', 'Science Nature']"
